Date,Open,High,Low,Close,Volume,Currency,symbol,Name,Exchange,Sector,Industry,Last,Chg. %,Market Cap
2019-05-21,1153.8,1155.17,1144.55,1153.67,709,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-22,1151.25,1162.8,1151.25,1161.43,560,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-23,1146.4,1149.45,1138.5,1141.0,494,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-24,1152.0,1154.32,1144.16,1146.37,440,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-28,1141.48,1157.86,1140.25,1153.84,133,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-29,1132.7,1133.85,1115.2,1116.65,364,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-30,1120.43,1127.63,1120.26,1122.06,139,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-31,1105.64,1117.27,1103.98,1117.27,107,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-03,1066.93,1066.93,1032.7,1045.84,2287,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-04,1044.49,1051.52,1035.84,1051.52,2937,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-05,1055.0,1055.0,1033.87,1042.47,10024,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-06,1044.64,1049.22,1036.01,1044.91,36313,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-07,1047.76,1074.39,1047.76,1068.64,739,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-10,1077.0,1097.75,1077.0,1097.75,820,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-11,1096.99,1105.89,1091.32,1095.69,8033,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-12,1081.04,1081.04,1065.68,1077.49,603,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-13,0.0,1097.03,1079.1,1091.99,11609,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-14,1089.74,1093.34,1083.3,1093.34,1063,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-17,1089.1,1105.35,1089.1,1097.99,530,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-18,1111.8,1120.73,1103.4,1115.01,512,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-19,1107.24,1107.24,1097.0,1100.21,603,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-20,1121.7,1122.25,1108.6,1110.46,610,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-06-21,1111.83,1124.12,1110.25,1124.12,10608,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
